frame_index,timestamp_s,camera_center_x_px,path_center_x_px,lateral_error,heading_error,angular_z_rad_s,linear_x_m_s,confidence,instruction,left_boundary_detected,right_boundary_detected
0,0.000,640.00,426.78,-0.227852,-0.105299,0.058168,0.193736,0.982963,TURN LEFT,1,1
6,0.100,640.00,445.31,-0.235082,-0.069121,0.098022,0.195697,0.983701,TURN LEFT,1,1
12,0.200,640.00,448.76,-0.222082,-0.076737,0.124733,0.197616,0.528876,TURN LEFT,1,0
18,0.300,640.00,453.41,-0.223273,-0.068269,0.143386,0.198176,0.533063,TURN LEFT,1,0
24,0.400,640.00,472.36,-0.192748,-0.069184,0.150495,0.204290,0.997535,TURN LEFT,1,1
30,0.501,640.00,489.98,-0.183669,-0.050745,0.151900,0.207882,0.988923,TURN LEFT,1,1
36,0.601,640.00,496.87,-0.158167,-0.065479,0.149000,0.211666,0.985613,TURN LEFT,1,1
42,0.701,640.00,503.54,-0.154974,-0.058252,0.145533,0.212999,0.550000,TURN LEFT,0,1
48,0.801,640.00,512.66,-0.141156,-0.057805,0.140091,0.215848,1.000000,TURN LEFT,1,1
54,0.901,640.00,519.66,-0.155199,-0.032837,0.136676,0.215363,1.000000,TURN LEFT,1,1
60,1.001,640.00,521.50,-0.158966,-0.026189,0.134356,0.215228,1.000000,TURN LEFT,1,1
66,1.101,640.00,526.39,-0.144517,-0.033006,0.130319,0.217516,0.550000,TURN LEFT,1,0
72,1.201,640.00,524.82,-0.125962,-0.054004,0.125574,0.219295,0.550000,TURN LEFT,1,0
78,1.301,640.00,528.26,-0.125870,-0.048728,0.121622,0.219814,0.550000,TURN LEFT,1,0
84,1.401,640.00,529.43,-0.131449,-0.041321,0.119221,0.219382,0.550000,TURN LEFT,1,0
90,1.502,640.00,526.85,-0.130823,-0.045980,0.117818,0.219068,0.550000,TURN LEFT,1,0
96,1.602,640.00,518.35,-0.126650,-0.063427,0.117642,0.218262,0.550000,TURN LEFT,1,0
102,1.702,640.00,520.57,-0.129225,-0.057384,0.117463,0.218312,0.550000,TURN LEFT,1,0
108,1.802,640.00,516.95,-0.135370,-0.056893,0.118576,0.217110,0.550000,TURN LEFT,1,0
114,1.902,640.00,518.66,-0.111422,-0.078168,0.116434,0.219958,0.550000,TURN LEFT,1,0
120,2.002,640.00,527.18,-0.102708,-0.073568,0.112611,0.222164,0.550000,TURN LEFT,1,0
126,2.102,640.00,525.86,-0.071828,-0.106520,0.106603,0.225313,0.550000,TURN LEFT,1,0
132,2.202,640.00,524.42,-0.046420,-0.134171,0.099651,0.227853,0.550000,TURN LEFT,1,0
138,2.302,640.00,516.51,-0.066861,-0.126097,0.098147,0.224466,0.550000,TURN LEFT,1,0
144,2.402,640.00,512.13,-0.099037,-0.100757,0.101338,0.220332,0.550000,TURN LEFT,1,0
150,2.502,640.00,504.73,-0.111062,-0.100305,0.106116,0.217933,0.550000,TURN LEFT,1,0
156,2.603,640.00,501.91,-0.134489,-0.081278,0.112611,0.214977,0.550000,TURN LEFT,1,0
162,2.703,640.00,539.49,-0.064337,-0.092712,0.103677,0.228143,0.990317,TURN LEFT,1,1
168,2.803,640.00,556.78,-0.088679,-0.041357,0.097323,0.228067,0.959601,TURN LEFT,1,1
174,2.903,640.00,568.02,-0.087108,-0.025362,0.090851,0.229902,0.978539,TURN LEFT,1,1
180,3.003,640.00,577.12,-0.039179,-0.059078,0.079430,0.236442,1.000000,TURN LEFT,1,1
186,3.103,640.00,587.65,-0.009418,-0.072377,0.057189,0.250000,0.970672,GO STRAIGHT,1,1
192,3.203,640.00,595.82,0.033073,-0.102099,0.041176,0.250000,1.000000,GO STRAIGHT,1,1
198,3.303,640.00,595.98,0.042160,-0.110946,0.029647,0.250000,0.994244,GO STRAIGHT,1,1
204,3.403,640.00,604.04,0.064434,-0.120621,0.021346,0.250000,1.000000,GO STRAIGHT,1,1
210,3.504,640.00,604.27,0.038737,-0.094565,0.015369,0.250000,0.986425,GO STRAIGHT,1,1
216,3.604,640.00,589.77,0.002802,-0.081286,0.011066,0.250000,1.000000,GO STRAIGHT,1,1
222,3.704,640.00,591.96,-0.006238,-0.068827,0.007967,0.250000,1.000000,GO STRAIGHT,1,1
228,3.804,640.00,593.40,-0.032019,-0.040792,0.016458,0.239629,0.983879,GO STRAIGHT,1,1
234,3.904,640.00,599.05,0.013586,-0.077575,0.011850,0.250000,1.000000,GO STRAIGHT,1,1
240,4.004,640.00,579.40,-0.067113,-0.027571,0.025328,0.233754,1.000000,TURN LEFT,1,1
246,4.104,640.00,558.51,-0.088490,-0.038838,0.040625,0.228344,0.978946,TURN LEFT,1,1
252,4.204,640.00,581.78,-0.038288,-0.052675,0.042453,0.237229,1.000000,GO STRAIGHT,1,1
258,4.304,640.00,599.57,0.037604,-0.100770,0.030566,0.250000,1.000000,GO STRAIGHT,1,1
264,4.404,640.00,612.29,0.084445,-0.127735,0.022007,0.250000,1.000000,GO STRAIGHT,1,1
270,4.505,640.00,603.50,0.028652,-0.085684,0.015845,0.250000,1.000000,GO STRAIGHT,1,1
276,4.605,640.00,587.65,-0.029049,-0.052743,0.022678,0.239100,1.000000,GO STRAIGHT,1,1
282,4.705,640.00,580.50,-0.063113,-0.029859,0.032508,0.234350,0.977809,TURN LEFT,1,1
288,4.805,640.00,565.97,-0.100227,-0.015452,0.045968,0.228177,1.000000,TURN LEFT,1,1
294,4.905,640.00,543.06,-0.142780,-0.008691,0.063932,0.220174,1.000000,TURN LEFT,1,1
300,5.005,640.00,544.09,-0.161174,0.011317,0.078769,0.218334,1.000000,TURN LEFT,1,1
306,5.105,640.00,553.54,-0.165857,0.030762,0.088529,0.219226,0.550000,TURN LEFT,1,0
312,5.205,640.00,557.75,-0.171840,0.043328,0.095581,0.219202,0.550000,TURN LEFT,1,0
318,5.305,640.00,555.84,-0.165098,0.033595,0.100196,0.219649,0.550000,TURN LEFT,1,0
324,5.405,640.00,555.86,-0.157238,0.025771,0.102636,0.220504,0.550000,TURN LEFT,1,0
330,5.506,640.00,556.71,-0.142507,0.012365,0.102612,0.222225,1.000000,TURN LEFT,1,1
336,5.606,640.00,565.66,-0.126533,0.010373,0.099436,0.225281,1.000000,TURN LEFT,1,1
342,5.706,640.00,577.54,-0.104210,0.006618,0.092830,0.229460,1.000000,TURN LEFT,1,1
