frame_index,timestamp_s,camera_center_x_px,path_center_x_px,lateral_error,heading_error,angular_z_rad_s,linear_x_m_s,confidence,instruction,left_boundary_detected,right_boundary_detected,control_source,reference_filename,reference_match_index,reference_latitude,reference_longitude,reference_heading_deg,reference_vpr_score,reference_alignment_error,route_turn_error,reference_confidence
0,0.000,640.00,426.78,-0.227852,-0.105299,0.045202,0.206278,0.982963,TURN LEFT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,25.4023,-0.214693,0.000000,0.744541
6,0.100,640.00,445.31,-0.235082,-0.069121,0.076210,0.207765,0.983701,TURN LEFT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,25.4023,-0.207454,0.000000,0.744541
12,0.200,640.00,448.76,-0.222082,-0.076737,0.097031,0.209220,0.528876,TURN LEFT,1,0,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,25.4023,-0.200369,0.000000,0.744541
18,0.300,640.00,453.41,-0.223273,-0.068269,0.111582,0.209646,0.533063,TURN LEFT,1,0,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,25.4023,-0.198299,0.000000,0.744541
24,0.400,640.00,472.36,-0.192748,-0.069184,0.117266,0.214282,0.997535,TURN LEFT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,25.4023,-0.175725,0.000000,0.744541
30,0.501,640.00,489.98,-0.183669,-0.050745,0.118542,0.217006,0.988923,TURN LEFT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,25.4023,-0.162462,0.000000,0.744541
36,0.601,640.00,496.87,-0.158167,-0.065479,0.116494,0.219876,0.985613,TURN LEFT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,25.4023,-0.148492,0.000000,0.744541
42,0.701,640.00,503.54,-0.154974,-0.058252,0.113973,0.220887,0.550000,TURN LEFT,0,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,25.4023,-0.143568,0.000000,0.744541
48,0.801,640.00,512.66,-0.141156,-0.057805,0.109925,0.223048,1.000000,TURN LEFT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,25.4023,-0.133049,0.000000,0.744541
54,0.901,640.00,519.66,-0.155199,-0.032837,0.107391,0.222680,1.000000,TURN LEFT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,25.4023,-0.134842,0.000000,0.744541
60,1.001,640.00,521.50,-0.158966,-0.026189,0.105672,0.222577,1.000000,TURN LEFT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,25.4023,-0.135340,0.000000,0.744541
66,1.101,640.00,526.39,-0.144517,-0.033006,0.102640,0.224313,0.550000,TURN LEFT,1,0,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,25.4023,-0.126889,0.000000,0.744541
72,1.201,640.00,524.82,-0.125962,-0.054004,0.099063,0.225662,0.550000,TURN LEFT,1,0,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,25.4023,-0.120323,0.000000,0.744541
78,1.301,640.00,528.26,-0.125870,-0.048728,0.096080,0.226055,0.550000,TURN LEFT,1,0,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,25.4023,-0.118407,0.000000,0.744541
84,1.401,640.00,529.43,-0.131449,-0.041321,0.094271,0.225728,0.550000,TURN LEFT,1,0,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,25.4023,-0.119999,0.000000,0.744541
90,1.502,640.00,526.85,-0.130823,-0.045980,0.093215,0.225490,0.550000,TURN LEFT,1,0,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,25.4023,-0.121160,0.000000,0.744541
96,1.602,640.00,518.35,-0.126650,-0.063427,0.093086,0.224879,0.550000,TURN LEFT,1,0,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,25.4023,-0.124137,0.000000,0.744541
102,1.702,640.00,520.57,-0.129225,-0.057384,0.092955,0.224916,0.550000,TURN LEFT,1,0,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,25.4023,-0.123953,0.000000,0.744541
108,1.802,640.00,516.95,-0.135370,-0.056893,0.093802,0.224005,0.550000,TURN LEFT,1,0,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,25.4023,-0.128389,0.000000,0.744541
114,1.902,640.00,518.66,-0.111422,-0.078168,0.092179,0.226165,0.550000,TURN LEFT,1,0,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,25.4023,-0.117875,0.000000,0.744541
120,2.002,640.00,527.18,-0.102708,-0.073568,0.090867,0.226304,0.550000,TURN LEFT,1,0,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,29.3339,-0.109730,0.000000,0.813342
