original_index,filename,selected,reason,representative_index
0,streetview_0000.jpg,False,wrong_direction,
1,streetview_0001.jpg,True,kept_endpoint,1
2,streetview_0002.jpg,False,duplicate_panorama,3
3,streetview_0003.jpg,False,too_close,1
4,streetview_0004.jpg,False,duplicate_panorama,5
5,streetview_0005.jpg,True,kept,5
6,streetview_0006.jpg,False,duplicate_panorama,7
7,streetview_0007.jpg,False,too_close,5
8,streetview_0008.jpg,False,duplicate_panorama,9
9,streetview_0009.jpg,True,kept,9
10,streetview_0010.jpg,False,duplicate_panorama,11
11,streetview_0011.jpg,False,too_close,9
12,streetview_0012.jpg,False,too_close,9
13,streetview_0013.jpg,True,kept,13
14,streetview_0014.jpg,False,duplicate_panorama,15
15,streetview_0015.jpg,False,too_close,13
16,streetview_0016.jpg,False,sequence_outlier,15
17,streetview_0017.jpg,True,kept,17
18,streetview_0018.jpg,False,duplicate_panorama,19
19,streetview_0019.jpg,False,too_close,17
20,streetview_0020.jpg,False,duplicate_panorama,21
21,streetview_0021.jpg,True,kept,21
22,streetview_0022.jpg,False,duplicate_panorama,23
23,streetview_0023.jpg,False,too_close,21
24,streetview_0024.jpg,False,duplicate_panorama,25
25,streetview_0025.jpg,True,kept,25
26,streetview_0026.jpg,False,duplicate_panorama,27
27,streetview_0027.jpg,False,too_close,25
28,streetview_0028.jpg,False,sequence_outlier,27
29,streetview_0029.jpg,True,kept,29
30,streetview_0030.jpg,False,duplicate_panorama,31
31,streetview_0031.jpg,False,too_close,29
32,streetview_0032.jpg,False,duplicate_panorama,33
33,streetview_0033.jpg,True,kept,33
34,streetview_0034.jpg,False,duplicate_panorama,35
35,streetview_0035.jpg,False,too_close,33
36,streetview_0036.jpg,False,duplicate_panorama,37
37,streetview_0037.jpg,True,kept,37
38,streetview_0038.jpg,False,duplicate_panorama,39
39,streetview_0039.jpg,False,too_close,37
40,streetview_0040.jpg,False,duplicate_panorama,39
41,streetview_0041.jpg,True,kept_endpoint,41
42,streetview_0042.jpg,False,wrong_direction,
43,streetview_0043.jpg,False,wrong_direction,
